,timestamp,len_word
,timestamp,S,P,R
235,2022-09-19 00:36:43.266,1,0,0
236,2022-09-19 00:36:43.380,1,0,0
237,2022-09-19 00:36:43.380,0,1,0
238,2022-09-19 00:36:43.538,0,2,0
239,2022-09-19 00:36:44.245,2,0,0
240,2022-09-19 00:36:44.245,0,1,0
241,2022-09-19 00:36:44.245,0,0,1
242,2022-09-19 00:36:44.271,1,0,0
243,2022-09-19 00:36:44.271,0,1,0
244,2022-09-19 00:36:44.333,0,0,1
245,2022-09-19 00:36:44.333,0,1,0
246,2022-09-19 00:36:45.441,2,0,0
247,2022-09-19 00:36:45.441,0,4,0
248,2022-09-19 00:36:46.240,0,1,0
249,2022-09-19 00:36:46.240,2,0,0
250,2022-09-19 00:36:46.256,0,0,1
251,2022-09-19 00:36:46.256,1,0,0
252,2022-09-19 00:36:46.290,0,3,0
253,2022-09-19 00:36:46.312,0,2,0
254,2022-09-19 00:36:46.393,0,1,0
255,2022-09-19 00:36:46.393,2,0,0
256,2022-09-19 00:36:46.895,0,0,1
257,2022-09-19 00:36:46.895,0,2,0
258,2022-09-19 00:36:46.895,1,0,0
259,2022-09-19 00:36:46.900,2,0,0
260,2022-09-19 00:36:46.900,0,3,0
261,2022-09-19 00:36:47.247,0,2,0
262,2022-09-19 00:41:15.272,0,2,0
263,2022-09-19 00:41:15.277,0,2,0
264,2022-09-19 00:41:15.410,0,1,0
265,2022-09-19 00:41:15.413,1,0,0
266,2022-09-19 00:41:16.261,2,0,0
267,2022-09-19 00:41:16.261,0,2,0
268,2022-09-19 00:41:16.261,0,0,1
269,2022-09-19 00:41:16.264,3,0,0
270,2022-09-19 00:41:16.264,0,1,0
271,2022-09-19 00:41:16.443,0,2,0
272,2022-09-19 00:41:16.443,0,0,1
273,2022-09-19 00:41:17.238,1,0,0
274,2022-09-19 00:41:17.255,2,0,0
275,2022-09-19 00:41:17.255,0,1,0
276,2022-09-19 00:41:17.271,0,2,0
277,2022-09-19 00:41:17.271,2,0,0
